*****************Results/MP3_decoder_16.dat-machine2-cycle3-generation100-population30.dat**************
makespan:65937 workload:369 
makespan:67922 workload:153 
makespan:65354 workload:417 
makespan:63887 workload:1081 
makespan:68103 workload:5 
makespan:62735 workload:1249 
makespan:65291 workload:455 
********************************************************
